participant,task,attempt,method,Rvel,Rfeat,Rvel*,Rfeat*,RvD,RfD,iactForce,iactTime,L2,L2Final,FeatDiffFinal,FeatWeightPath,WeightPath,FeatDiff,RegretFinal,Regret
P1,T1,2,B,0.02985975284455381,47.05556127615522,0.025266781174202255,41.50272782483688,0.004592971670351553,5.552833451318335,26.69063508350521,0.2,0.4034186121026566,0.21968635882044651,0.12953095713140073,20.505945898133973,0.7803136411795535,5.552833451318335,-0.12953095713140073,5.552833451318335
P1,T2,1,A,0.21567352894339045,93.69906387047027,0.0227234209604,30.3635833267,0.19295010798299045,63.335480543770274,457.6747359181044,3.3000000000000003,0.19359380014386166,0.8964643285225717,15.582122619391857,19.99545819615377,0.23598333035826435,63.335480543770274,0.0,0.0
P1,T2,1,B,0.11364934650902983,111.61978029384426,0.0227234209604,30.3635833267,0.09092592554862983,81.25619696714426,302.6723914425681,2.4000000000000004,0.1050649554797312,0.49756408785034095,147.93110601698416,20.512751954983848,0.9541855935037948,81.25619696714426,0.0,0.0
P1,T2,2,A,0.14435650326135693,156.59605002921543,0.0227234209604,30.3635833267,0.12163308230095693,126.23246670251544,605.7395409020779,5.1000000000000005,0.3447142918645109,0.4680127679255719,149.52128527404034,20.256501701518758,0.6918615217811279,126.23246670251544,0.0,0.0
P1,T2,2,B,0.07515457465750477,85.82896650918764,0.0227234209604,30.3635833267,0.05243115369710477,55.46538318248764,119.31007476712297,0.9,0.04311410637231426,0.11997197708203478,68.12099347290203,19.95982496499647,0.27438256565036734,55.46538318248764,0.0,0.0
P1,T3,1,A,0.09465084943508224,71.17274760179495,0.0406183171652,71.5630861069,0.05403253226988224,0.3903385051050492,99.34002739759522,0.9,0.176049818677093,0.0,4.118305696465541e-11,20.646807528658115,1.0,0.3903385051050492,-4.118305696465541e-11,-0.3903385051050492
P1,T3,1,B,0.09413233544901693,67.72940260134135,0.0406183171652,71.5630861069,0.05351401828381693,3.8336835055586533,32.90391473205933,0.30000000000000004,0.2570258365514895,0.0007068224001540724,5.437919148340953,20.69141935515895,0.9992931775998459,3.8336835055586533,5.437919148340953,-3.8336835055586533
P1,T3,2,A,0.09226197701183105,70.94219776743171,0.0406183171652,71.5630861069,0.051643659846631045,0.6208883394682942,124.73313897829692,1.0,0.15570780693286515,0.0,4.118305696465541e-11,20.65512109033225,1.0,0.6208883394682942,-4.118305696465541e-11,-0.6208883394682942
P1,T3,2,B,0.0949670384625834,74.21926180968354,0.0406183171652,71.5630861069,0.054348721297383405,2.6561757027835426,31.316785126723328,0.30000000000000004,0.5405210699765198,0.3496861076223492,1.244828552862245,20.370192061292684,0.6503138923776508,2.6561757027835426,1.244828552862245,2.6561757027835426
P1,T4,1,A,0.26827102543628867,80.16827608037742,0.0320482060381,64.7395550562,0.23622281939818868,15.42872102417742,218.45138299296087,1.9000000000000001,0.16370893760615446,0.1546260580445704,5.875415265562054,21.19293344216056,2.2199090395624737,15.42872102417742,0.0,0.0
P1,T4,1,B,0.26646936492400525,78.41595201899646,0.0320482060381,64.7395550562,0.23442115888590526,13.67639696279646,80.67918677470428,0.7000000000000001,0.03675538635538769,0.11209883702947165,6.357381089333387,19.912120987995067,0.11209883702947165,13.67639696279646,0.0,0.0
P1,T4,2,A,0.33866488981017623,91.29893618973401,0.0320482060381,64.7395550562,0.30661668377207624,26.559381133534004,243.35515273098213,1.9000000000000001,0.22981606879586508,0.46607020980204794,22.123256883060776,21.460017560246875,2.3621518781479764,26.559381133534004,0.0,0.0
P1,T4,2,B,0.26190600658950697,74.11611403460304,0.0320482060381,64.7395550562,0.22985780055140698,9.37655897840304,67.95806905021972,0.6000000000000001,0.010232855822785904,0.00018902941688266062,0.007127041688079316,19.90336100341539,0.051499865774351436,9.37655897840304,0.0,0.0
P2,T1,1,A,0.06213076382739962,47.364148241131694,0.025266781174202255,41.50272782483688,0.03686398265319736,5.861420416294813,562.2384362129989,3.4000000000000004,0.29637336154269406,0.0,0.0,20.546405708743777,1.0,5.861420416294813,0.0,5.861420416294813
P2,T1,1,B,0.05213230126375757,49.88359835622485,0.025266781174202255,41.50272782483688,0.026865520089555315,8.38087053138797,74.69016096297321,0.5,0.575527446052206,0.23928836366826833,0.4191323028429679,20.346578625720966,0.7607116363317317,8.38087053138797,0.4191323028429679,8.38087053138797
P2,T1,2,A,0.06046172182993352,48.69235287932116,0.025266781174202255,41.50272782483688,0.03519494065573127,7.1896250544842815,485.2021795836795,3.0,0.37414901241192133,0.0,0.0,20.578119899238807,0.927495274128507,7.1896250544842815,0.0,7.1896250544842815
P2,T1,2,B,0.07024085891483592,50.89643526942635,0.025266781174202255,41.50272782483688,0.04497407774063367,9.393707444589467,82.84257295330087,0.5,0.6288051357049167,0.4238980853896245,6.481257586966919,20.197220121241443,0.5761019146103755,9.393707444589467,6.481257586966919,9.393707444589467
P2,T2,1,A,0.1849998304709029,134.74633879476653,0.0227234209604,30.3635833267,0.1622764095105029,104.38275546806653,868.8587950691906,4.4,0.7998027119029699,0.34361190786694573,129.86514620680214,21.71461244317136,2.456405615787995,104.38275546806653,0.0,0.0
P2,T2,1,B,0.1477978838717299,78.93702376600645,0.0227234209604,30.3635833267,0.1250744629113299,48.57344043930645,232.593023885491,1.3,0.05483685913116241,0.20365562948201338,103.49993836710655,20.03265670687802,0.43637447622020487,48.57344043930645,0.0,0.0
P2,T2,2,A,0.2631465818831312,32.624152745470695,0.0227234209604,30.3635833267,0.24042316092273122,2.2605694187706966,1761.512989403626,6.4,0.10746269094351796,1.0,87.75743722943204,19.966795248679848,0.13349402601679294,2.2605694187706966,0.0,0.0
P2,T2,2,B,0.11506115622979468,37.857967582682164,0.0227234209604,30.3635833267,0.09233773526939468,7.494384255982165,257.69830533216555,1.3,0.0680852292276774,0.10427400745802173,7.587958437452581,19.951918118276748,0.32305991263042133,7.494384255982165,0.0,0.0
P2,T3,1,A,0.12632839224982273,63.95147516969931,0.0406183171652,71.5630861069,0.08571007508462272,7.611610937200695,258.3430567025435,2.0,0.21137369611511772,0.0,4.118305696465541e-11,20.514739098500527,1.0,7.611610937200695,-4.118305696465541e-11,-7.611610937200695
